Autotrace Enabled
Shows the execution plan as well as statistics of the statement.
================================
= 1. Všichni uživatelé se svým stavem konta seřazení sestupně
================================

FIRST_NAME                                                                                                                                                                                                                                                      LAST_NAME                                                                                                                                                                                                                                                           AMOUNT
Sergeant                                                                                                                                                                                                                                                        Vannoni                                                                                                                                                                                                                                                          128892,31
Beatrix                                                                                                                                                                                                                                                         Willman                                                                                                                                                                                                                                                           128760,7
Bealle                                                                                                                                                                                                                                                          Seson                                                                                                                                                                                                                                                               128737
Josselyn                                                                                                                                                                                                                                                        Sykora                                                                                                                                                                                                                                                           128689,22
Barn                                                                                                                                                                                                                                                            Pass                                                                                                                                                                                                                                                              128660,7
Kerry                                                                                                                                                                                                                                                           Malletratt                                                                                                                                                                                                                                                       128642,16
Kassey                                                                                                                                                                                                                                                          Roft                                                                                                                                                                                                                                                              128591,4
Jaclyn                                                                                                                                                                                                                                                          Parfitt                                                                                                                                                                                                                                                          128492,95
Patrick                                                                                                                                                                                                                                                         Henrichs                                                                                                                                                                                                                                                         128477,68
Carlotta                                                                                                                                                                                                                                                        Chadbourne                                                                                                                                                                                                                                                       128415,28
Horst                                                                                                                                                                                                                                                           Griffitts                                                                                                                                                                                                                                                        128346,34
Laryssa                                                                                                                                                                                                                                                         Byfford                                                                                                                                                                                                                                                           128315,9
Fonz                                                                                                                                                                                                                                                            Sayse                                                                                                                                                                                                                                                            128307,59
Berthe                                                                                                                                                                                                                                                          Exer                                                                                                                                                                                                                                                             128271,06
Berne                                                                                                                                                                                                                                                           Girogetti                                                                                                                                                                                                                                                        128171,42
Gigi                                                                                                                                                                                                                                                            Morrieson                                                                                                                                                                                                                                                        128169,36
Glynnis                                                                                                                                                                                                                                                         Biggar                                                                                                                                                                                                                                                           128167,21
Brinna                                                                                                                                                                                                                                                          Blowen                                                                                                                                                                                                                                                           128161,06
Cordie                                                                                                                                                                                                                                                          Meadowcroft                                                                                                                                                                                                                                                      128075,95
Lucinda                                                                                                                                                                                                                                                         Vedenisov                                                                                                                                                                                                                                                        127884,67
Kelley                                                                                                                                                                                                                                                          Edgeworth                                                                                                                                                                                                                                                        127804,89
Mei                                                                                                                                                                                                                                                             Hanburry                                                                                                                                                                                                                                                         127762,38
Nelson                                                                                                                                                                                                                                                          Morot                                                                                                                                                                                                                                                            127700,38
Willem                                                                                                                                                                                                                                                          Yeskov                                                                                                                                                                                                                                                           127656,78
Kerk                                                                                                                                                                                                                                                            Petraitis                                                                                                                                                                                                                                                        127558,05
Pauline                                                                                                                                                                                                                                                         Pimblett                                                                                                                                                                                                                                                         127504,73
Lonnie                                                                                                                                                                                                                                                          Penner                                                                                                                                                                                                                                                           127497,49
Burk                                                                                                                                                                                                                                                            Eastwell                                                                                                                                                                                                                                                         127496,95
Verne                                                                                                                                                                                                                                                           Kloska                                                                                                                                                                                                                                                           127456,18
Ignatius                                                                                                                                                                                                                                                        Laroze                                                                                                                                                                                                                                                           127423,46
Beatrix                                                                                                                                                                                                                                                         Willman                                                                                                                                                                                                                                                          127379,11
Carmina                                                                                                                                                                                                                                                         Reville                                                                                                                                                                                                                                                          127369,41
Lotti                                                                                                                                                                                                                                                           Callacher                                                                                                                                                                                                                                                        127277,24
Orbadiah                                                                                                                                                                                                                                                        Weedon                                                                                                                                                                                                                                                           127215,22
Alfi                                                                                                                                                                                                                                                            Geely                                                                                                                                                                                                                                                            127192,95
Jaquelin                                                                                                                                                                                                                                                        Tredget                                                                                                                                                                                                                                                             127155
Tabb                                                                                                                                                                                                                                                            Blowick                                                                                                                                                                                                                                                          127007,22
Joni                                                                                                                                                                                                                                                            Stirling                                                                                                                                                                                                                                                         126908,94
Felisha                                                                                                                                                                                                                                                         Fardoe                                                                                                                                                                                                                                                           126890,63
Margareta                                                                                                                                                                                                                                                       Treffry                                                                                                                                                                                                                                                          126876,25
Fin                                                                                                                                                                                                                                                             Mariault                                                                                                                                                                                                                                                         126813,94
Amandi                                                                                                                                                                                                                                                          Brumfield                                                                                                                                                                                                                                                        126779,89
Hansiain                                                                                                                                                                                                                                                        Fellgett                                                                                                                                                                                                                                                         126730,13
Beale                                                                                                                                                                                                                                                           Locket                                                                                                                                                                                                                                                           126723,37
Marietta                                                                                                                                                                                                                                                        Eynald                                                                                                                                                                                                                                                              126674
Vanessa                                                                                                                                                                                                                                                         Skeermor                                                                                                                                                                                                                                                          126450,3
Fonzie                                                                                                                                                                                                                                                          Filip                                                                                                                                                                                                                                                            126414,88
Robbert                                                                                                                                                                                                                                                         Targett                                                                                                                                                                                                                                                          126388,06
Anitra                                                                                                                                                                                                                                                          Shoosmith                                                                                                                                                                                                                                                        126360,71
Aaron                                                                                                                                                                                                                                                           Seabrocke                                                                                                                                                                                                                                                        126241,13
Keefe                                                                                                                                                                                                                                                           Giron                                                                                                                                                                                                                                                            126201,18
Veronique                                                                                                                                                                                                                                                       Meneux                                                                                                                                                                                                                                                           126116,42
Christian                                                                                                                                                                                                                                                       Neame                                                                                                                                                                                                                                                            126079,32
Conn                                                                                                                                                                                                                                                            Thurlborn                                                                                                                                                                                                                                                        126034,48
Ardra                                                                                                                                                                                                                                                           Pyson                                                                                                                                                                                                                                                            126030,91
Witty                                                                                                                                                                                                                                                           Maplethorpe                                                                                                                                                                                                                                                      125958,43
Otis                                                                                                                                                                                                                                                            Titman                                                                                                                                                                                                                                                           125953,28
Dolley                                                                                                                                                                                                                                                          Couth                                                                                                                                                                                                                                                             125861,4
Lars                                                                                                                                                                                                                                                            Sewart                                                                                                                                                                                                                                                           125853,88
Celinda                                                                                                                                                                                                                                                         Smethurst                                                                                                                                                                                                                                                        125827,21
Jedediah                                                                                                                                                                                                                                                        Keller                                                                                                                                                                                                                                                           125714,15
Humfrid                                                                                                                                                                                                                                                         Wardley                                                                                                                                                                                                                                                           125700,5
Menard                                                                                                                                                                                                                                                          Sumnall                                                                                                                                                                                                                                                          125527,25
Berri                                                                                                                                                                                                                                                           Ricciardo                                                                                                                                                                                                                                                        125487,61
Oliy                                                                                                                                                                                                                                                            McCague                                                                                                                                                                                                                                                          125457,82
Brunhilde                                                                                                                                                                                                                                                       Barrar                                                                                                                                                                                                                                                           125453,77
Kristan                                                                                                                                                                                                                                                         Elce                                                                                                                                                                                                                                                             125424,53
Dallon                                                                                                                                                                                                                                                          Cadreman                                                                                                                                                                                                                                                         125417,33
Burk                                                                                                                                                                                                                                                            Banister                                                                                                                                                                                                                                                         125388,86
Bili                                                                                                                                                                                                                                                            Chanders                                                                                                                                                                                                                                                         125367,93
Maddy                                                                                                                                                                                                                                                           Byer                                                                                                                                                                                                                                                             125326,19
Myrlene                                                                                                                                                                                                                                                         Costell                                                                                                                                                                                                                                                          125239,78
Jesus                                                                                                                                                                                                                                                           Barde                                                                                                                                                                                                                                                            125160,58
Lenard                                                                                                                                                                                                                                                          Boarleyson                                                                                                                                                                                                                                                       125135,07
Eugene                                                                                                                                                                                                                                                          Naisey                                                                                                                                                                                                                                                           125125,76
Gratia                                                                                                                                                                                                                                                          Peert                                                                                                                                                                                                                                                            125117,12
Valentin                                                                                                                                                                                                                                                        Dener                                                                                                                                                                                                                                                            125087,44
Ardine                                                                                                                                                                                                                                                          Silverson                                                                                                                                                                                                                                                        125072,03
Mignonne                                                                                                                                                                                                                                                        Mayho                                                                                                                                                                                                                                                            125034,83
Werner                                                                                                                                                                                                                                                          Philp                                                                                                                                                                                                                                                            124970,44
Gabriell                                                                                                                                                                                                                                                        Sherratt                                                                                                                                                                                                                                                         124781,66
Coraline                                                                                                                                                                                                                                                        Casham                                                                                                                                                                                                                                                           124752,86
Jonell                                                                                                                                                                                                                                                          Polotti                                                                                                                                                                                                                                                          124733,94
Cherri                                                                                                                                                                                                                                                          Dibbe                                                                                                                                                                                                                                                            124721,36
Benjamen                                                                                                                                                                                                                                                        Culkin                                                                                                                                                                                                                                                           124714,35
Editha                                                                                                                                                                                                                                                          Guinane                                                                                                                                                                                                                                                          124712,89
